 [VMM] Identity Mapped 128MB (Supervisor Only).
 [ATA] Primary Master Drive initialized.
 [FS] Loaded module: 
 [FS] Loaded module: 
 [FS] No filesystem found.
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
 [BG-TASK] System Alive. Tick...
